阶段,词项,总词频,文献频次
2011-2015,储层,55533,17661
2011-2015,地层,34310,17398
2011-2015,构造,18721,9123
2011-2015,岩石,16366,6861
2011-2015,盆地,16247,8132
2011-2015,裂缝,16129,4696
2011-2015,钻井,15641,6320
2011-2015,渗透率,13815,6314
2011-2015,地震,13602,5482
2011-2015,特征,12748,9277
2011-2015,分布,12503,8016
2011-2015,孔隙,11814,4395
2011-2015,断层,11158,3375
2011-2015,油田,10551,6257
2011-2015,页岩,9251,2821
2011-2015,沉积,8903,4589
2011-2015,注入,8617,3494
2011-2015,实验,8595,5854
2011-2015,催化剂,8507,2596
2011-2015,水力压裂,8447,2743
2011-2015,勘探,8291,4938
2011-2015,层系,7842,4025
2011-2015,比值,7832,4922
2011-2015,二氧化碳,7459,2135
2011-2015,砂体,7430,3257
2011-2015,岩心,7297,4579
2011-2015,区带,7218,3715
2011-2015,驱替,6875,2752
2011-2015,砂岩,6779,3164
2011-2015,工艺,6699,4476
2011-2015,成藏,6657,3211
2011-2015,采收率,6642,3641
2011-2015,孔隙度,6520,3271
2011-2015,测井,6517,3621
2011-2015,地质,6061,4335
2011-2015,studied,6052,5492
2011-2015,机理,5887,4436
2011-2015,浓度,5779,3297
2011-2015,区块,5598,3472
2011-2015,样品,5524,3059
2011-2015,水平,5512,2934
2011-2015,碳酸盐岩,5497,2735
2011-2015,效率,5071,3390
2011-2015,水合物,5065,880
2011-2015,尺度,5052,3267
2011-2015,速度,4993,2441
2011-2015,颗粒,4931,2211
2011-2015,模拟,4926,3372
2011-2015,评价,4863,3338
2011-2015,应力,4844,1920
2011-2015,聚合物,4766,1637
2011-2015,液相,4759,2550
2011-2015,体积,4752,3054
2011-2015,预测,4664,2982
2011-2015,运移,4534,2383
2011-2015,河道,4521,1956
2011-2015,常规,4479,3516
2011-2015,产品,4324,2657
2011-2015,设计,4309,2918
2011-2015,埋深,4178,2660
2011-2015,密度,4173,2551
2011-2015,建立,4131,3698
2011-2015,黏度,4087,2084
2011-2015,凹陷,4068,1879
2011-2015,稠油,4047,2065
2011-2015,中部,4022,2629
2011-2015,页岩气,3920,1328
2011-2015,层序,3912,1652
2011-2015,热采,3911,2364
2011-2015,三角洲,3789,1642
2011-2015,钻井液,3785,1661
2011-2015,period,3769,2386
2011-2015,甲烷,3759,1569
2011-2015,演化,3741,2521
2011-2015,improve,3711,3234
2011-2015,吸附,3706,1606
2011-2015,厚度,3683,2429
2011-2015,饱和度,3656,1745
2011-2015,层段,3655,1791
2011-2015,上部,3654,2464
2011-2015,早期,3639,2458
2011-2015,活性,3632,2264
2011-2015,factor,3602,2588
2011-2015,收率,3562,2017
2011-2015,increasing,3560,2789
2011-2015,频率,3526,1557
2011-2015,化学,3520,2553
2011-2015,组成,3483,2552
2011-2015,水平井,3452,1619
2011-2015,方程,3414,1994
2011-2015,use,3393,2774
2011-2015,better,3371,2917
2011-2015,生成,3359,1996
2011-2015,蒸汽,3261,1025
2011-2015,产能,3251,1708
2011-2015,addition,3230,2735
2011-2015,mass,3227,2099
2011-2015,multi,3221,2092
2011-2015,small,3221,2618
2011-2015,垂向,3218,2270
2016-2020,储层,34669,10672
2016-2020,孔隙,16230,4441
2016-2020,构造,14841,7325
2016-2020,裂缝,13695,3320
2016-2020,岩石,13194,5186
2016-2020,页岩,12460,3160
2016-2020,盆地,12117,5779
2016-2020,二氧化碳,11305,2812
2016-2020,渗透率,10450,4266
2016-2020,分布,9271,5730
2016-2020,催化剂,9249,2770
2016-2020,特征,9052,6238
2016-2020,实验,8850,5898
2016-2020,样品,8001,3952
2016-2020,断层,7788,1972
2016-2020,地震,7735,3159
2016-2020,比值,7206,4309
2016-2020,沉积,7048,3295
2016-2020,注入,7009,2748
2016-2020,水合物,6867,941
2016-2020,机理,6649,4672
2016-2020,吸附,6483,2382
2016-2020,采收率,6283,3013
2016-2020,岩心,6241,3598
2016-2020,甲烷,6178,2195
2016-2020,浓度,6136,3420
2016-2020,层系,6126,3060
2016-2020,孔隙度,5895,2592
2016-2020,颗粒,5845,2462
2016-2020,尺度,5758,3418
2016-2020,钻井,5637,2491
2016-2020,砂岩,5587,2186
2016-2020,水力压裂,5565,1822
2016-2020,区带,5561,2594
2016-2020,驱替,5435,2095
2016-2020,碳酸盐岩,5304,2270
2016-2020,效率,4910,3239
2016-2020,液相,4796,2494
2016-2020,studied,4779,4253
2016-2020,体积,4770,2924
2016-2020,热采,4730,2581
2016-2020,产品,4640,2739
2016-2020,addition,4590,3734
2016-2020,模拟,4568,2956
2016-2020,勘探,4534,2775
2016-2020,化学,4339,3035
2016-2020,应力,4184,1564
2016-2020,砂体,4161,1682
2016-2020,页岩气,4161,1389
2016-2020,收率,4139,2371
2016-2020,组成,3980,2788
2016-2020,成藏,3971,1938
2016-2020,工艺,3944,2814
2016-2020,活性,3847,2434
2016-2020,密度,3735,2326
2016-2020,increasing,3705,2857
2016-2020,演化,3696,2350
2016-2020,河道,3566,1439
2016-2020,有机质,3511,1843
2016-2020,聚合物,3485,1236
2016-2020,黏度,3439,1608
2016-2020,地质,3419,2358
2016-2020,生成,3395,2005
2016-2020,燃烧,3389,1219
2016-2020,转化,3333,2040
2016-2020,速度,3320,1505
2016-2020,常规,3310,2509
2016-2020,稳定性,3305,2176
2016-2020,mass,3270,2209
2016-2020,预测,3269,2044
2016-2020,埋深,3266,1967
2016-2020,水平,3255,1652
2016-2020,improve,3217,2747
2016-2020,运移,3205,1674
2016-2020,significantly,3205,2874
2016-2020,三角洲,3185,1190
2016-2020,评价,3174,2067
2016-2020,上部,3164,2024
2016-2020,油田,3138,1816
2016-2020,various,3131,2691
2016-2020,better,3125,2721
2016-2020,行为,3098,2166
2016-2020,热解,3074,1195
2016-2020,建立,3068,2691
2016-2020,presence,3050,2376
2016-2020,催化,3046,1752
2016-2020,测井,3017,1755
2016-2020,small,3011,2427
2016-2020,increases,3005,2195
2016-2020,早期,2980,1971
2016-2020,富集,2979,1871
2016-2020,稠油,2971,1452
2016-2020,表面活性剂,2943,831
2016-2020,use,2941,2405
2016-2020,key,2914,2534
2016-2020,饱和度,2892,1399
2016-2020,processes,2885,2178
2016-2020,number,2879,2129
2016-2020,average,2841,1948
2016-2020,氧化,2813,1335
2021-2025,储层,25547,8624
2021-2025,二氧化碳,21868,4720
2021-2025,构造,17293,9234
2021-2025,孔隙,15628,4829
2021-2025,催化剂,14028,4296
2021-2025,水合物,13004,1706
2021-2025,裂缝,12604,3104
2021-2025,岩石,11779,4303
2021-2025,实验,11069,7502
2021-2025,页岩,11065,2739
2021-2025,机理,10620,7328
2021-2025,渗透率,10489,4282
2021-2025,吸附,9479,3659
2021-2025,甲烷,8972,2896
2021-2025,效率,8771,5865
2021-2025,样品,8132,3964
2021-2025,盆地,7963,3685
2021-2025,特征,7949,5588
2021-2025,注入,7453,2899
2021-2025,采收率,7409,3495
2021-2025,分布,7323,4748
2021-2025,浓度,7311,4146
2021-2025,稳定性,6961,4612
2021-2025,比值,6920,4328
2021-2025,储存,6842,2990
2021-2025,颗粒,6730,2965
2021-2025,significantly,6363,5579
2021-2025,尺度,6278,3857
2021-2025,层系,6088,3206
2021-2025,密度,6059,4117
2021-2025,热采,5977,3285
2021-2025,化学,5785,4033
2021-2025,岩心,5726,2990
2021-2025,模拟,5690,3799
2021-2025,活性,5582,3656
2021-2025,addition,5522,4503
2021-2025,金属,5487,3137
2021-2025,水力压裂,5374,1715
2021-2025,钻井,5324,1962
2021-2025,催化,5313,2977
2021-2025,沉积,5148,2723
2021-2025,产品,5118,3160
2021-2025,转化,5095,3252
2021-2025,efficient,5078,4255
2021-2025,碳酸盐岩,4984,2212
2021-2025,孔隙度,4976,2488
2021-2025,enhanced,4968,4115
2021-2025,地震,4948,1855
2021-2025,液相,4914,2687
2021-2025,应力,4846,1825
2021-2025,断层,4840,1219
2021-2025,体积,4754,3131
2021-2025,various,4697,4030
2021-2025,increasing,4684,3773
2021-2025,行为,4625,3270
2021-2025,演化,4576,2943
2021-2025,驱替,4575,1866
2021-2025,收率,4537,2880
2021-2025,材料,4533,2953
2021-2025,区带,4402,2162
2021-2025,工艺,4393,3389
2021-2025,燃烧,4255,1442
2021-2025,位点,4232,2697
2021-2025,氧化,4226,2104
2021-2025,网络,4186,2511
2021-2025,电子,4115,2994
2021-2025,生成,4113,2703
2021-2025,热解,4090,1509
2021-2025,strategy,4007,3245
2021-2025,砂岩,3998,1586
2021-2025,processes,3946,3078
2021-2025,wt,3941,2024
2021-2025,设计,3934,3136
2021-2025,组成,3915,2791
2021-2025,分子,3887,2496
2021-2025,聚合物,3869,1677
2021-2025,promising,3773,3558
2021-2025,novel,3760,3372
2021-2025,transfer,3749,2584
2021-2025,increases,3718,2719
2021-2025,improve,3712,3199
2021-2025,预测,3696,2084
2021-2025,furthermore,3666,3524
2021-2025,富集,3659,2330
2021-2025,presence,3656,2947
2021-2025,understanding,3655,3290
2021-2025,improved,3634,3145
2021-2025,solid,3579,2272
2021-2025,地质,3562,2314
2021-2025,treatment,3550,2198
2021-2025,key,3548,3141
2021-2025,多孔,3513,2077
2021-2025,mass,3472,2465
2021-2025,effectively,3472,3068
2021-2025,revealed,3471,3134
2021-2025,resulting,3462,3178
2021-2025,reduced,3451,2894
2021-2025,highly,3441,2964
2021-2025,成本,3423,2569
2021-2025,studied,3417,3012
